विच्छेद,वि+छेद
आच्छादयति,आ+छादयति
चेच्छिद्यते,चे+छिद्यते
अभ्युदय,अभि+उदय
अन्वयः,अनु+अयः
कर्त्री,कर्तृ+ई
नयनम्,ने+अनम्
भवनम्,भो+अनम्
नायकः,नै+अकः
पावकः,पौ+अकः
माण्डव्यः,माण्डो+यः
गव्यम्,गो+यम्
नाव्यम्,नौ+यम्
लव्यम्,लो+यम्
भाव्यम्,भौ+यम्
जय्य,जे+य
क्षय्य,क्षे+य
क्रय्य,क्रे+य
भय्य,भे+य
प्रेक्षणम्,प्र+ईक्षणम्
प्रोत्साहः,प्र+उत्साहः
उपैति,उप+एति
उपैधते,उप+एधते
प्रौढः,प्र+ऊढः
प्रैषः,प्र+एषः
बहुश्रेयस्यै,बहुश्रेयस्यी+आट्+ङे
उपार्च्छति,उप+ऋच्छति
प्रार्च्छति,प्र+ऋच्छति
गाः,गो+अस्
गाम्,गो+अम्
प्रेजते,प्र+एजते
उपोषति,उप+ओषति
कोम्,का+ओम्
शिवायोम्,शिवाय+ओम्
कदोढा,कदा+ओढा
अद्यर्श्यात्,अद्य+अर्श्यात्
अयुः,अया+उस्
छिन्द्युः,छिन्द्या+उस्
पचे,पच+ए
पचन्ति,पच+अन्ति
घटिति,घटत्+इति
झटिति,झटत्+इति
पटत्पटदिति,पटत्पटत्+इति
पटत्पटेति,पटत्पटत्+इति
पटत्पटा,पटत्पटत्+आ
उपाचार्यः,उप+आचार्यः
उपेन्द्रः,उप+इन्द्रः
अग्नी,अग्नि+औ
वायू,वायु+औ
वृक्षाः,वृक्ष+अस्
वृक्षौ,वृक्ष+औ
कुमार्यौ,कुमारी+औ
उपनाह्यौ,उपनाही+औ
वृक्षम्,वृक्ष+अम्
गृहीत,ग्रह+इत
अग्नेः,अग्ने+अस्
सख्युः,सखि+अस्
द्युकामः,दिव्+कामः
स्य ते,स्यः+ते
समस्करोत्,सम्+अकरोत्
परिष्कर्ता,परि+कर्ता
परिष्कृतम्,परि+कृतम्
उपस्कृतम्,उप+कृतम्
उपस्कारम्,उप+कारम्
प्रतिस्कीर्णम्,प्रति+कीर्णम्
अपस्किरते,अप्+किरते
अपरस्पराः,अपर+पराः
आस्पद,आ+पद
आश्चर्य,आ+चर्य
अवस्करः,अव+करः
अपस्करः,अप+करः
विष्करः,वि+करः
प्रतिष्कशः,प्रति+कशः
मस्कर,म+कर
सँस्कर्त्ता,सम्+कर्त्ता
संस्कर्त्ता,सम्+कर्त्ता
सँस्स्कर्त्ता,सम्+स्कर्ता
संस्स्कर्त्ता,सम्+स्कर्ता
पुँस्कामा,पुम्+कामा
पुंस्कामा,पुम्+कामा
लीढः,लिढ्+ढः
पयःसु,पयर्+सु
पयांसि,पयान्+सि
सम्राट्,सम्+राट्
प्राङ्क् शेते,प्राङ्+शेते
सन्त्सः,सन्+सः
कस्कः,कः+कः
जलाषाट्,जला+साट्
सर्पिःषु,सर्पिः+सु
वायुषु,वायु+सु
उषितः,उ+सितः
अभिषुणोति,अभि+सुनोति
विषदिति,वि+सदिति
परिष्टभ्नाति,परि+स्तभ्नाति
अवष्टभ्यास्ते,अव+स्थभ्यास्ते
विष्वणति,वि+स्वनति
परिषेवते,परि+सेवते
अनुष्यन्दते,अनु+स्यन्दते
विष्कन्ता,वि+स्कन्ता
परिष्कन्ता,परि+स्कन्ता
परिष्कन्द,परि+स्कन्द
निष्ष्फुरति,निस्+स्फुरति
विष्कम्भिता,वि+स्कम्भिता
अभिनिष्टानः,अभिनिस्+स्तानः
अभिष्यात्,अभि+स्यात्
सुषूतिः,सु+सूतिः
निष्णातः,नि+स्नातः
प्रतिष्णातः,प्रति+स्नातः
प्रष्ठ,प्र+स्थ
विष्टार,वि+स्तार
विष्ठलम्,वि+स्थलम्
हरिषेणः,हरि+सेनः
भरणिषेणः,भरणि+सेनः
निष्टपतिः,निस्+तपतिः
अभी षु,अभी+सु
पृतनाषाहम्,पृतना+साहम्
अभिषसाद,अभि+ससाद
न्यषीदत्,नि+असीदत्
पूष्णा,पूष्+ना
रामेण,रामे+न
वृत्रहणः,वृत्र+हनः
परिणमति,परि+नमति
प्रहिणुतः,प्र+हिनुतः
प्रवपाणि,प्रवप+आनि
प्रणिपतति,प्र+निपतति
प्रणिपचति,प्र+निपचति
प्राणिति,प्र+अनिति
प्राण्,प्र+अन्
प्रहण्यते,प्र+हन्यते
प्रहण्वः,प्र+हन्वः
रक्षाणः,रक्षा+नः
प्रणः,प्र+नः
परिमाणम्,परि+मानम्
प्रयापणम्,प्र+यापनम्
प्रकोपणम्,प्र+कोपनम्
प्रेङ्खणम्,प्र+इङ्खनम्
प्रणिक्षणम्,प्र+निक्षणम्
वृक्षान्,वृक्ष+अन्
यज्ञः,यज्+नः
दुष्टः,दुस्+टः
विष्णुः,विष्+नुः
पेष्टा,पेष्+ता
उड्डीनः,उद्+डीनः
कर्त्तव्यम्,कर्+तव्यम्
कर्तव्यम्,कर्+तव्यम्
अक्षदर्शः,अक्षदर्+शः
वृद्धिः,वृध्+धिः
शङ्का,शं+का
उत्थानम्,उद्+स्थानम्
कृष्णर्धिः,कृष्णर्+ध्धिः
स्वच्छन्दः,स्व+छन्दः
माच्छिदत्,मा+छिदत्
लक्ष्मीच्छाया,लक्ष्मी+छाया
प्रत्येकः,प्रति+एकः
नद्यत्र,नदी+अत्र
मध्वत्र,मधु+अत्र
वध्वाज्ञा,वधू+आज्ञा
मात्राज्ञा,मातृ+आज्ञा
लाकृतिः,ऌ+आकृतिः
फलयिच्छा,फले+इच्छा
तस्मायेतत्,तस्मै+एतत्
तावेकदा,तौ+एकदा
गव्यूतिः,गो+यूतिः
कोऽसिचत्,कस्+असिचत्
देवेन्द्रः,देव+इन्द्रः
परोपकारः,पर+उपकारः
देवर्षिः,देव+ऋषिः
तवल्कारः,तव+ऌकारः
अत्रैकः,अत्र+एकः
देवैश्वर्यम्,देव+ऐश्वर्यम्
तण्डुलौदनम्,तण्डुल+ओदनम्
देवौदार्यम्,देव+औदार्यम्
प्रष्ठौहः,प्रष्ठ+ऊहः
विश्वौहः,विश्व+ऊहः
अक्षौहिणी,अक्ष+ऊहिनी
स्वैरः,स्व+ईरः
शकन्धुः,शक+अन्धुः
मनीषा,मनस्+ईषा
कुलटा,कुल+अटा
सीमन्तः,सीम+अन्तः
सारङ्गः,सार+अङ्गः
स्थूलोतुः,स्थूल+ओतुः
बिम्बोष्ठः,बिम्ब+ओष्ठः
हिमालयः,हिम+आलयः
गिरीशः,गिरि+ईशः
विष्णूदयः,विष्णु+उदयः
होतॄकारः,होतृ+ऋकारः
सेवतेऽहम्,सेवते+अहम्
लोकोऽयम्,लोको+अयम्
पुरुषो हसति,पुरुषर्।हसति
गवाग्रम्,गो+अग्रम्
गवेन्द्रः,गो+इन्द्रः
कुमारि अत्र,कुमारी+अत्र
ब्रह्मऋषिः,ब्रह्मा+ऋषिः
एष ददाति,एषः+ददाति
सैष दाशरथी रामः,सः+एष दाशरथी रामः
कुस्तुम्बुरु,कु+तुम्बुरु
गोष्पद,गो+पद
सुश्चन्द्र:,सु+चन्द्रः
हरिश्चन्द्र,हरि+चन्द्र
अजस्तुन्द,अज+तुन्द
कारस्कर,कार+कर
पारस्कर,पार+कर
महाँ असि,महान्+असि
तस्मिंस्तरौ,तस्मिन्+तरौ
तस्मिँस् त्वा,तस्मिन्+त्वा
महाँ इन्द्र,महान्+इन्द्र
नॄँः पाहि,नॄन्+पाहि
नॄंः पाहि,नॄन्+पाहि
काँस्कान्,कान्+कान्
पुना रमते,पुनर्+रमते
वृक्षस्तरति,वृक्षर्+तरति
भो अत्र,भोर्+अत्र
क आस्ते,कय्+आस्ते
भो इदम्,भोय्+इदम्
भगो हसति,भगोय्+हसति
वनं गच्छति,वनम्+गच्छति
कथन्ह्नुते,कथम्+ह्नुते
सञ्च्छम्भुः,सन्+शम्भुः
प्रत्यङ्ङात्मा,प्रत्यङ्+आत्मा
शम्वस्तु,शमु+अस्तु
वृक्षस्तरति,वृक्षः+तरति
वृक्षश्शेते,वृक्षः+शेते
पयस्पाशम्,पयः+पाशम्
सर्पिष्पाशम्,सर्पिः+पाशम्
